"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"PdL_A12C2-1_S190_L001_R1_001.fastq.gz",61090,45018,44728,44848,37376,33815
"PdL_A30M2-1_S226_L001_R1_001.fastq.gz",1974,1277,1268,1238,1233,1233
"PdL_A30M2-2_S234_L001_R1_001.fastq.gz",10576,7715,7644,7705,6309,6309
"PdL_A30M2-3_S176_L001_R1_001.fastq.gz",9502,6595,6578,6528,5560,5560
"PdL_A54C3-1_S167_L001_R1_001.fastq.gz",15993,10597,10584,10568,7163,7118
"PdL_A54M3-1_S179_L001_R1_001.fastq.gz",19551,12429,12367,12383,7861,7860
"PdL_A5C1-1_S203_L001_R1_001.fastq.gz",35244,23595,23567,23586,21220,21211
"PdL_A5C1-2_S222_L001_R1_001.fastq.gz",3605,2319,2312,2296,1449,1448
"PdL_A5M1-1_S250_L001_R1_001.fastq.gz",13763,6738,6731,6725,4460,4460
"PdL_A5M1-2_S210_L001_R1_001.fastq.gz",5824,2492,2486,2491,2234,2234
"PdL_A60C4-2_S233_L001_R1_001.fastq.gz",1344,876,876,876,785,785
"PdL_AG1-1_S191_L001_R1_001.fastq.gz",21016,13346,13337,13334,4732,4729
"PdL_AG2-1_S238_L001_R1_001.fastq.gz",25,8,3,1,0,0
"PdL_AG2-2_S221_L001_R1_001.fastq.gz",133,75,70,73,39,39
"PdL_AG3-1_S166_L001_R1_001.fastq.gz",2978,2116,2113,2113,1121,1121
"PdL_AG4-1_S178_L001_R1_001.fastq.gz",32554,23999,23937,23881,20251,19883
"PdL_AG4-2_S257_L001_R1_001.fastq.gz",14055,9507,9497,9352,4387,4387
"PdL_SE30C4-1_S216_L001_R1_001.fastq.gz",25774,16691,16548,16525,9611,9198
"PdL_SE30C4-2_S195_L001_R1_001.fastq.gz",7152,5040,4999,4991,3361,3361
"PdL_SE30M4-1_S239_L001_R1_001.fastq.gz",24752,17819,17734,17757,15315,14967
"PdL_SE30M4-3_S235_L001_R1_001.fastq.gz",21058,14695,14676,14683,8583,8355
"PdL_SE43M2-1_S251_L001_R1_001.fastq.gz",85919,45506,45289,45374,26356,26168
"PdL_SE43M2-2_S243_L001_R1_001.fastq.gz",20541,13543,13534,13502,7791,7788
"PdL_SE43M2-3_S259_L001_R1_001.fastq.gz",34452,22231,22144,22208,10738,10738
"PdL_SE54C1-1_S215_L001_R1_001.fastq.gz",37062,24610,24464,24462,12182,11856
"PdL_SE54C1-2_S230_L001_R1_001.fastq.gz",38658,24850,24795,24830,17128,16506
"PdL_SE54M1-1_S180_L001_R1_001.fastq.gz",12225,8095,8057,7945,4017,4017
"PdL_SE54M1-2_S255_L001_R1_001.fastq.gz",25,6,2,2,0,0
"PdL_SE54M1-3_S223_L001_R1_001.fastq.gz",2766,1861,1855,1816,1150,1150
"PdL_SE5C3-1_S228_L001_R1_001.fastq.gz",24973,16348,16341,16342,9721,9720
"PdL_SE5M3-1_S204_L001_R1_001.fastq.gz",46749,25888,25868,25866,9589,9584
"PdL_SE5M3-2_S183_L001_R1_001.fastq.gz",12093,8397,8389,8390,5802,5801
"PdL_SE5M3-3_S247_L001_R1_001.fastq.gz",3016,2059,2042,2048,1287,1287
"PdL_SE60C2-1_S240_L001_R1_001.fastq.gz",95759,42678,42615,42501,7302,7251
"PdL_SE60C2-2_S207_L001_R1_001.fastq.gz",2,1,1,1,0,0
"PdL_SEG1-1_S227_L001_R1_001.fastq.gz",92865,49476,49043,49323,16484,15620
"PdL_SEG1-2_S242_L001_R1_001.fastq.gz",25643,18006,17985,17983,11553,11467
"PdL_SEG2-1_S192_L001_R1_001.fastq.gz",56961,40148,39112,40059,16707,16335
"PdL_SEG2-2_S171_L001_R1_001.fastq.gz",49464,35219,35105,35132,20416,20028
"PdL_SEG3-1_S168_L001_R1_001.fastq.gz",17880,10747,10694,10633,3552,3310
"PdL_SEG3-2_S254_L001_R1_001.fastq.gz",66445,43943,43848,43750,19690,18303
"PdL_SEG4-1_S252_L001_R1_001.fastq.gz",86381,61436,61285,61342,36208,32802
"PdL_SEG4-2_S231_L001_R1_001.fastq.gz",31587,21931,21857,21840,11733,10920
"PdL_SO12C2-1_S229_L001_R1_001.fastq.gz",52484,33874,33758,33779,27544,27346
"PdL_SO12C2-2_S173_L001_R1_001.fastq.gz",30254,19792,19733,19762,14761,14719
"PdL_SO30M2-1_S182_L001_R1_001.fastq.gz",6628,4390,4369,4383,2779,2751
"PdL_SO30M2-2_S172_L001_R1_001.fastq.gz",35315,23758,23692,23696,16621,15798
"PdL_SO40C3-1_S193_L001_R1_001.fastq.gz",30703,21762,21691,21702,19991,19965
"PdL_SO40C3-2_S185_L001_R1_001.fastq.gz",19123,8851,8847,8839,7666,7666
"PdL_SO43C4-1_S205_L001_R1_001.fastq.gz",26360,18536,18467,18487,16748,16418
"PdL_SO43C4-2_S220_L001_R1_001.fastq.gz",19658,14317,14292,14308,13286,13279
"PdL_SO43M4-1_S206_L001_R1_001.fastq.gz",122207,89728,89605,89261,77019,75383
"PdL_SO43M4-2_S232_L001_R1_001.fastq.gz",4845,3534,3529,3512,3243,3243
"PdL_SO54M3-1_S169_L001_R1_001.fastq.gz",67182,30399,30360,30278,2281,2281
"PdL_SO54M3-3_S199_L001_R1_001.fastq.gz",21049,11102,11092,10952,3189,3189
"PdL_SO5C1-1_S170_L001_R1_001.fastq.gz",46446,33270,33176,33188,19407,18507
"PdL_SO5C1-2_S197_L001_R1_001.fastq.gz",120558,78152,77939,77975,69899,67341
"PdL_SO5M1-1_S181_L001_R1_001.fastq.gz",42225,18373,18361,18357,1059,1059
"PdL_SO5M1-2_S209_L001_R1_001.fastq.gz",6113,2657,2655,2655,731,731
"PdL_SO5M1-3_S175_L001_R1_001.fastq.gz",372,182,182,182,78,78
