sample_id,plant,year,plot,nitrogen,sample_date,soil_type,nitrogen_rate
1001,C,2018,P3,N300,20180425,rhizosphere,N300
1002,C,2018,P3,N300,20180425,rhizosphere,N300
1003,C,2018,P3,N300,20180425,rhizosphere,N300
1004,C,2018,P4,N0,20180425,rhizosphere,N0
1005,C,2018,P4,N0,20180425,rhizosphere,N0
1006,C,2018,P4,N0,20180425,rhizosphere,N0
1007,C,2018,P5,N200,20180425,rhizosphere,N200
1008,C,2018,P5,N200,20180425,rhizosphere,N200
1009,C,2018,P5,N200,20180425,rhizosphere,N200
1010,C,2018,P6,N300,20180425,rhizosphere,N300
1011,C,2018,P6,N300,20180425,rhizosphere,N300
1012,C,2018,P6,N300,20180425,rhizosphere,N300
1013,C,2018,P7,N0,20180425,rhizosphere,N0
1014,C,2018,P7,N0,20180425,rhizosphere,N0
1015,C,2018,P7,N0,20180425,rhizosphere,N0
1016,C,2018,P9,N200,20180425,rhizosphere,N200
1017,C,2018,P9,N200,20180425,rhizosphere,N200
1018,C,2018,P9,N200,20180425,rhizosphere,N200
1019,C,2018,P12,N200,20180425,rhizosphere,N200
1020,C,2018,P12,N200,20180425,rhizosphere,N200
1021,C,2018,P12,N200,20180425,rhizosphere,N200
1022,C,2018,P13,N300,20180425,rhizosphere,N300
1023,C,2018,P13,N300,20180425,rhizosphere,N300
1024,C,2018,P13,N300,20180425,rhizosphere,N300
1025,C,2018,P14,N0,20180425,rhizosphere,N0
1026,C,2018,P14,N0,20180425,rhizosphere,N0
1027,C,2018,P14,N0,20180425,rhizosphere,N0
1028,M,2015,P3,N400,20180425,rhizosphere,N400
1029,M,2015,P3,N400,20180425,rhizosphere,N400
1030,M,2015,P3,N400,20180425,rhizosphere,N400
1031,M,2015,P4,N0,20180425,rhizosphere,N0
1032,M,2015,P4,N0,20180425,rhizosphere,N0
1033,M,2015,P4,N0,20180425,rhizosphere,N0
1034,M,2015,P5,N200,20180425,rhizosphere,N200
1035,M,2015,P5,N200,20180425,rhizosphere,N200
1036,M,2015,P5,N200,20180425,rhizosphere,N200
1037,M,2016,P6,N400,20180425,rhizosphere,N400
1038,M,2016,P6,N400,20180425,rhizosphere,N400
1039,M,2016,P6,N400,20180425,rhizosphere,N400
1040,M,2016,P7,N0,20180425,rhizosphere,N0
1041,M,2016,P7,N0,20180425,rhizosphere,N0
1042,M,2016,P7,N0,20180425,rhizosphere,N0
1043,M,2016,P9,N200,20180425,rhizosphere,N200
1044,M,2016,P9,N200,20180425,rhizosphere,N200
1045,M,2016,P9,N200,20180425,rhizosphere,N200
1046,M,2017,P12,N200,20180425,rhizosphere,N200
1047,M,2017,P12,N200,20180425,rhizosphere,N200
1048,M,2017,P12,N200,20180425,rhizosphere,N200
1049,M,2017,P13,N400,20180425,rhizosphere,N400
1050,M,2017,P13,N400,20180425,rhizosphere,N400
1051,M,2017,P13,N400,20180425,rhizosphere,N400
1052,M,2017,P14,N0,20180425,rhizosphere,N0
1053,M,2017,P14,N0,20180425,rhizosphere,N0
1054,M,2017,P14,N0,20180425,rhizosphere,N0
1055,M,2016,P17,N400,20180425,rhizosphere,N400
1056,M,2016,P17,N400,20180425,rhizosphere,N400
1057,M,2016,P17,N400,20180425,rhizosphere,N400
1058,M,2016,P18,N200,20180425,rhizosphere,N200
1059,M,2016,P18,N200,20180425,rhizosphere,N200
1060,M,2016,P18,N200,20180425,rhizosphere,N200
1061,M,2016,P19,N0,20180425,rhizosphere,N0
1062,M,2016,P19,N0,20180425,rhizosphere,N0
1063,M,2016,P19,N0,20180425,rhizosphere,N0
1064,M,2017,P22,N400,20180425,rhizosphere,N400
1065,M,2017,P22,N400,20180425,rhizosphere,N400
1066,M,2017,P22,N400,20180425,rhizosphere,N400
1067,M,2017,P24,N0,20180425,rhizosphere,N0
1068,M,2017,P24,N0,20180425,rhizosphere,N0
1069,M,2017,P24,N0,20180425,rhizosphere,N0
1070,M,2017,P25,N200,20180425,rhizosphere,N200
1071,M,2017,P25,N200,20180425,rhizosphere,N200
1072,M,2017,P25,N200,20180425,rhizosphere,N200
1073,M,2015,P27,N400,20180425,rhizosphere,N400
1074,M,2015,P27,N400,20180425,rhizosphere,N400
1075,M,2015,P27,N400,20180425,rhizosphere,N400
1076,M,2015,P28,N0,20180425,rhizosphere,N0
1077,M,2015,P28,N0,20180425,rhizosphere,N0
1078,M,2015,P28,N0,20180425,rhizosphere,N0
1079,M,2015,P30,N200,20180425,rhizosphere,N200
1080,M,2015,P30,N200,20180425,rhizosphere,N200
1081,M,2015,P30,N200,20180425,rhizosphere,N200
1082,M,2017,P33,N200,20180425,rhizosphere,N200
1083,M,2017,P33,N200,20180425,rhizosphere,N200
1084,M,2017,P33,N200,20180425,rhizosphere,N200
1085,M,2017,P34,N400,20180425,rhizosphere,N400
1086,M,2017,P34,N400,20180425,rhizosphere,N400
1087,M,2017,P34,N400,20180425,rhizosphere,N400
1088,M,2017,P35,N0,20180425,rhizosphere,N0
1089,M,2017,P35,N0,20180425,rhizosphere,N0
1090,M,2017,P35,N0,20180425,rhizosphere,N0
1091,M,2016,P37,N400,20180425,rhizosphere,N400
1092,M,2016,P37,N400,20180425,rhizosphere,N400
1094,M,2016,P39,N0,20180425,rhizosphere,N0
1095,M,2016,P39,N0,20180425,rhizosphere,N0
1096,M,2016,P39,N0,20180425,rhizosphere,N0
1097,M,2016,P40,N200,20180425,rhizosphere,N200
1098,M,2016,P40,N200,20180425,rhizosphere,N200
1099,M,2016,P40,N200,20180425,rhizosphere,N200
1100,M,2015,P43,N200,20180425,rhizosphere,N200
1101,M,2015,P43,N200,20180425,rhizosphere,N200
1102,M,2015,P43,N200,20180425,rhizosphere,N200
1103,M,2015,P44,N0,20180425,rhizosphere,N0
1104,M,2015,P44,N0,20180425,rhizosphere,N0
1105,M,2015,P44,N0,20180425,rhizosphere,N0
1106,M,2015,P45,N400,20180425,rhizosphere,N400
1107,M,2015,P45,N400,20180425,rhizosphere,N400
1108,M,2015,P45,N400,20180425,rhizosphere,N400
1109,C,2018,P33,N200,20180425,rhizosphere,N200
1110,C,2018,P33,N200,20180425,rhizosphere,N200
1111,C,2018,P33,N200,20180425,rhizosphere,N200
