sequence_id,sample_id,crop,year,plot,nitrogen_conc,replicate,sample_date,days_after_fertilization,nucleotide,target_region,fertilization,soil_type,project,rownames
1001_C_2018_P3_N300_20180425,1001_DNA,C,2018,P3,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1001_DNA
1002_C_2018_P3_N300_20180425,1002_DNA,C,2018,P3,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1002_DNA
1003_C_2018_P3_N300_20180425,1003_DNA,C,2018,P3,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1003_DNA
1004_C_2018_P4_N0_20180425,1004_DNA,C,2018,P4,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1004_DNA
1005_C_2018_P4_N0_20180425,1005_DNA,C,2018,P4,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1005_DNA
1006_C_2018_P4_N0_20180425,1006_DNA,C,2018,P4,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1006_DNA
1007_C_2018_P5_N200_20180425,1007_DNA,C,2018,P5,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1007_DNA
1008_C_2018_P5_N200_20180425,1008_DNA,C,2018,P5,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1008_DNA
1009_C_2018_P5_N200_20180425,1009_DNA,C,2018,P5,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1009_DNA
1010_C_2018_P6_N300_20180425,1010_DNA,C,2018,P6,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1010_DNA
1011_C_2018_P6_N300_20180425,1011_DNA,C,2018,P6,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1011_DNA
1012_C_2018_P6_N300_20180425,1012_DNA,C,2018,P6,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1012_DNA
1013_C_2018_P7_N0_20180425,1013_DNA,C,2018,P7,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1013_DNA
1014_C_2018_P7_N0_20180425,1014_DNA,C,2018,P7,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1014_DNA
1015_C_2018_P7_N0_20180425,1015_DNA,C,2018,P7,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1015_DNA
1016_C_2018_P9_N200_20180425,1016_DNA,C,2018,P9,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1016_DNA
1017_C_2018_P9_N200_20180425,1017_DNA,C,2018,P9,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1017_DNA
1018_C_2018_P9_N200_20180425,1018_DNA,C,2018,P9,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1018_DNA
1019_C_2018_P12_N200_20180425,1019_DNA,C,2018,P12,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1019_DNA
1020_C_2018_P12_N200_20180425,1020_DNA,C,2018,P12,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1020_DNA
