sequence_id,sample_id,plant,year,plot,nitrogen_conc,days_after_fertilization,nucleotide,target_region,project,rownames
2028_DNA,2028,M,2015,P3,N400,-10,DNA,ITS,LAMPS_2018,2028
2029_DNA,2029,M,2015,P3,N400,-10,DNA,ITS,LAMPS_2018,2029
2029_RNA,2029,M,2015,P3,N400,-10,RNA,ITS,LAMPS_2018,2029
2030_DNA,2030,M,2015,P3,N400,-10,DNA,ITS,LAMPS_2018,2030
2031_DNA,2031,M,2015,P4,N0,-10,DNA,ITS,LAMPS_2018,2031
2032_DNA,2032,M,2015,P4,N0,-10,DNA,ITS,LAMPS_2018,2032
2032_RNA,2032,M,2015,P4,N0,-10,RNA,ITS,LAMPS_2018,2032
2033_DNA,2033,M,2015,P4,N0,-10,DNA,ITS,LAMPS_2018,2033
2037_DNA,2037,M,2016,P6,N400,-10,DNA,ITS,LAMPS_2018,2037
2037_RNA,2037,M,2016,P6,N400,-10,RNA,ITS,LAMPS_2018,2037
2038_DNA,2038,M,2016,P6,N400,-10,DNA,ITS,LAMPS_2018,2038
2039_DNA,2039,M,2016,P6,N400,-10,DNA,ITS,LAMPS_2018,2039
2040_DNA,2040,M,2016,P7,N0,-10,DNA,ITS,LAMPS_2018,2040
2040_RNA,2040,M,2016,P7,N0,-10,RNA,ITS,LAMPS_2018,2040
2041_DNA,2041,M,2016,P7,N0,-10,DNA,ITS,LAMPS_2018,2041
2042_DNA,2042,M,2016,P7,N0,-10,DNA,ITS,LAMPS_2018,2042
2049_DNA,2049,M,2017,P13,N400,-10,DNA,ITS,LAMPS_2018,2049
2050_DNA,2050,M,2017,P13,N400,-10,DNA,ITS,LAMPS_2018,2050
2050_RNA,2050,M,2017,P13,N400,-10,RNA,ITS,LAMPS_2018,2050
2051_DNA,2051,M,2017,P13,N400,-10,DNA,ITS,LAMPS_2018,2051
2052_DNA,2052,M,2017,P14,N0,-10,DNA,ITS,LAMPS_2018,2052
2053_DNA,2053,M,2017,P14,N0,-10,DNA,ITS,LAMPS_2018,2053
2054_DNA,2054,M,2017,P14,N0,-10,DNA,ITS,LAMPS_2018,2054
2055_DNA,2055,M,2016,P17,N400,-10,DNA,ITS,LAMPS_2018,2055
2055_RNA,2055,M,2016,P17,N400,-10,RNA,ITS,LAMPS_2018,2055
2057_DNA,2057,M,2016,P17,N400,-10,DNA,ITS,LAMPS_2018,2057
2061_DNA,2061,M,2016,P19,N0,-10,DNA,ITS,LAMPS_2018,2061
2062_DNA,2062,M,2016,P19,N0,-10,DNA,ITS,LAMPS_2018,2062
2062_RNA,2062,M,2016,P19,N0,-10,RNA,ITS,LAMPS_2018,2062
2063_DNA,2063,M,2016,P19,N0,-10,DNA,ITS,LAMPS_2018,2063
2063_RNA,2063,M,2016,P19,N0,-10,RNA,ITS,LAMPS_2018,2063
2065_DNA,2065,M,2017,P22,N400,-10,DNA,ITS,LAMPS_2018,2065
2066_DNA,2066,M,2017,P22,N400,-10,DNA,ITS,LAMPS_2018,2066
2067_DNA,2067,M,2017,P24,N0,-10,DNA,ITS,LAMPS_2018,2067
2068_DNA,2068,M,2017,P24,N0,-10,DNA,ITS,LAMPS_2018,2068
2069_DNA,2069,M,2017,P24,N0,-10,DNA,ITS,LAMPS_2018,2069
2073_DNA,2073,M,2015,P27,N400,-10,DNA,ITS,LAMPS_2018,2073
2074_DNA,2074,M,2015,P27,N400,-10,DNA,ITS,LAMPS_2018,2074
2075_DNA,2075,M,2015,P27,N400,-10,DNA,ITS,LAMPS_2018,2075
2075_RNA,2075,M,2015,P27,N400,-10,RNA,ITS,LAMPS_2018,2075
2076_DNA,2076,M,2015,P28,N0,-10,DNA,ITS,LAMPS_2018,2076
2077_DNA,2077,M,2015,P28,N0,-10,DNA,ITS,LAMPS_2018,2077
2077_RNA,2077,M,2015,P28,N0,-10,RNA,ITS,LAMPS_2018,2077
2078_DNA,2078,M,2015,P28,N0,-10,DNA,ITS,LAMPS_2018,2078
2113_DNA,2113,C,2018,P34,N300,-10,DNA,ITS,LAMPS_2018,2113
2114_DNA,2114,C,2018,P34,N300,-10,DNA,ITS,LAMPS_2018,2114
2115_DNA,2115,C,2018,P35,N0,-10,DNA,ITS,LAMPS_2018,2115
2116_DNA,2116,C,2018,P35,N0,-10,DNA,ITS,LAMPS_2018,2116
2118_DNA,2118,C,2018,P37,N300,-10,DNA,ITS,LAMPS_2018,2118
2119_DNA,2119,C,2018,P37,N300,-10,DNA,ITS,LAMPS_2018,2119
2121_DNA,2121,C,2018,P39,N0,-10,DNA,ITS,LAMPS_2018,2121
2122_DNA,2122,C,2018,P39,N0,-10,DNA,ITS,LAMPS_2018,2122
2123_DNA,2123,C,2018,P39,N0,-10,DNA,ITS,LAMPS_2018,2123
2130_DNA,2130,C,2018,P44,N0,-10,DNA,ITS,LAMPS_2018,2130
2131_DNA,2131,C,2018,P44,N0,-10,DNA,ITS,LAMPS_2018,2131
2132_DNA,2132,C,2018,P44,N0,-10,DNA,ITS,LAMPS_2018,2132
2133_DNA,2133,C,2018,P45,N300,-10,DNA,ITS,LAMPS_2018,2133
2134_DNA,2134,C,2018,P45,N300,-10,DNA,ITS,LAMPS_2018,2134
2135_DNA,2135,C,2018,P45,N300,-10,DNA,ITS,LAMPS_2018,2135
2136_DNA,2136,M,2017,P46,N0,-10,DNA,ITS,LAMPS_2018,2136
2138_DNA,2138,M,2017,P46,N0,-10,DNA,ITS,LAMPS_2018,2138
2138_RNA,2138,M,2017,P46,N0,-10,RNA,ITS,LAMPS_2018,2138
2139_DNA,2139,M,2017,P48,N400,-10,DNA,ITS,LAMPS_2018,2139
2140_DNA,2140,M,2017,P48,N400,-10,DNA,ITS,LAMPS_2018,2140
2141_DNA,2141,M,2017,P48,N400,-10,DNA,ITS,LAMPS_2018,2141
2145_DNA,2145,M,2015,P53,N400,-10,DNA,ITS,LAMPS_2018,2145
2146_DNA,2146,M,2015,P53,N400,-10,DNA,ITS,LAMPS_2018,2146
