sequence_id,sample_id,plant,year,plot,nitrogen_conc,replicate,sample_date,days_after_fertilization,nucleotide,fertilization,soil_type
2001_C_2018_P3_N300_A_20180430_RNA,2001,C,2018,P3,N300,A,20180430,-10,RNA,no,rhizosphere
2002_C_2018_P3_N300_B_20180430_RNA,2002,C,2018,P3,N300,B,20180430,-10,RNA,no,rhizosphere
2003_C_2018_P3_N300_C_20180430_RNA,2003,C,2018,P3,N300,C,20180430,-10,RNA,no,rhizosphere
2004_C_2018_P4_N0_A_20180430_RNA,2004,C,2018,P4,N0,A,20180430,-10,RNA,no,rhizosphere
2005_C_2018_P4_N0_B_20180430_RNA,2005,C,2018,P4,N0,B,20180430,-10,RNA,no,rhizosphere
2006_C_2018_P4_N0_C_20180430_RNA,2006,C,2018,P4,N0,C,20180430,-10,RNA,no,rhizosphere
2007_C_2018_P5_N200_A_20180430_RNA,2007,C,2018,P5,N200,A,20180430,-10,RNA,no,rhizosphere
2008_C_2018_P5_N200_B_20180430_RNA,2008,C,2018,P5,N200,B,20180430,-10,RNA,no,rhizosphere
2009_C_2018_P5_N200_C_20180430_RNA,2009,C,2018,P5,N200,C,20180430,-10,RNA,no,rhizosphere
2010_C_2018_P6_N300_A_20180430_RNA,2010,C,2018,P6,N300,A,20180430,-10,RNA,no,rhizosphere
2011_C_2018_P6_N300_B_20180430_RNA,2011,C,2018,P6,N300,B,20180430,-10,RNA,no,rhizosphere
2012_C_2018_P6_N300_C_20180430_RNA,2012,C,2018,P6,N300,C,20180430,-10,RNA,no,rhizosphere
2013_C_2018_P7_N0_A_20180430_RNA,2013,C,2018,P7,N0,A,20180430,-10,RNA,no,rhizosphere
2014_C_2018_P7_N0_B_20180430_RNA,2014,C,2018,P7,N0,B,20180430,-10,RNA,no,rhizosphere
2015_C_2018_P7_N0_C_20180430_RNA,2015,C,2018,P7,N0,C,20180430,-10,RNA,no,rhizosphere
2016_C_2018_P9_N200_A_20180430_RNA,2016,C,2018,P9,N200,A,20180430,-10,RNA,no,rhizosphere
2017_C_2018_P9_N200_B_20180430_RNA,2017,C,2018,P9,N200,B,20180430,-10,RNA,no,rhizosphere
2018_C_2018_P9_N200_C_20180430_RNA,2018,C,2018,P9,N200,C,20180430,-10,RNA,no,rhizosphere
2019_C_2018_P12_N200_A_20180430_RNA,2019,C,2018,P12,N200,A,20180430,-10,RNA,no,rhizosphere
2020_C_2018_P12_N200_B_20180430_RNA,2020,C,2018,P12,N200,B,20180430,-10,RNA,no,rhizosphere
2021_C_2018_P12_N200_C_20180430_RNA,2021,C,2018,P12,N200,C,20180430,-10,RNA,no,rhizosphere
2022_C_2018_P13_N300_A_20180430_RNA,2022,C,2018,P13,N300,A,20180430,-10,RNA,no,rhizosphere
2023_C_2018_P13_N300_B_20180430_RNA,2023,C,2018,P13,N300,B,20180430,-10,RNA,no,rhizosphere
2024_C_2018_P13_N300_C_20180430_RNA,2024,C,2018,P13,N300,C,20180430,-10,RNA,no,rhizosphere
2025_C_2018_P14_N0_A_20180430_RNA,2025,C,2018,P14,N0,A,20180430,-10,RNA,no,rhizosphere
2026_C_2018_P14_N0_B_20180430_RNA,2026,C,2018,P14,N0,B,20180430,-10,RNA,no,rhizosphere
2027_C_2018_P14_N0_C_20180430_RNA,2027,C,2018,P14,N0,C,20180430,-10,RNA,no,rhizosphere
2028_M_2015_P3_N400_A_20180430_RNA,2028,M,2015,P3,N400,A,20180430,-10,RNA,no,rhizosphere
2029_M_2015_P3_N400_B_20180430_RNA,2029,M,2015,P3,N400,B,20180430,-10,RNA,no,rhizosphere
2030_M_2015_P3_N400_C_20180430_RNA,2030,M,2015,P3,N400,C,20180430,-10,RNA,no,rhizosphere
2031_M_2015_P4_N0_A_20180430_RNA,2031,M,2015,P4,N0,A,20180430,-10,RNA,no,rhizosphere
2032_M_2015_P4_N0_B_20180430_RNA,2032,M,2015,P4,N0,B,20180430,-10,RNA,no,rhizosphere
2033_M_2015_P4_N0_C_20180430_RNA,2033,M,2015,P4,N0,C,20180430,-10,RNA,no,rhizosphere
2034_M_2015_P5_N200_A_20180430_RNA,2034,M,2015,P5,N200,A,20180430,-10,RNA,no,rhizosphere
2035_M_2015_P5_N200_B_20180430_RNA,2035,M,2015,P5,N200,B,20180430,-10,RNA,no,rhizosphere
2036_M_2015_P5_N200_C_20180430_RNA,2036,M,2015,P5,N200,C,20180430,-10,RNA,no,rhizosphere
2037_M_2016_P6_N400_A_20180430_RNA,2037,M,2016,P6,N400,A,20180430,-10,RNA,no,rhizosphere
2038_M_2016_P6_N400_B_20180430_RNA,2038,M,2016,P6,N400,B,20180430,-10,RNA,no,rhizosphere
2039_M_2016_P6_N400_C_20180430_RNA,2039,M,2016,P6,N400,C,20180430,-10,RNA,no,rhizosphere
2040_M_2016_P7_N0_A_20180430_RNA,2040,M,2016,P7,N0,A,20180430,-10,RNA,no,rhizosphere
2041_M_2016_P7_N0_B_20180430_RNA,2041,M,2016,P7,N0,B,20180430,-10,RNA,no,rhizosphere
2042_M_2016_P7_N0_C_20180430_RNA,2042,M,2016,P7,N0,C,20180430,-10,RNA,no,rhizosphere
2043_M_2016_P9_N200_A_20180430_RNA,2043,M,2016,P9,N200,A,20180430,-10,RNA,no,rhizosphere
2044_M_2016_P9_N200_B_20180430_RNA,2044,M,2016,P9,N200,B,20180430,-10,RNA,no,rhizosphere
2045_M_2016_P9_N200_C_20180430_RNA,2045,M,2016,P9,N200,C,20180430,-10,RNA,no,rhizosphere
2046_M_2017_P12_N200_A_20180430_RNA,2046,M,2017,P12,N200,A,20180430,-10,RNA,no,rhizosphere
2047_M_2017_P12_N200_B_20180430_RNA,2047,M,2017,P12,N200,B,20180430,-10,RNA,no,rhizosphere
2048_M_2017_P12_N200_C_20180430_RNA,2048,M,2017,P12,N200,C,20180430,-10,RNA,no,rhizosphere
2049_M_2017_P13_N400_A_20180430_RNA,2049,M,2017,P13,N400,A,20180430,-10,RNA,no,rhizosphere
2050_M_2017_P13_N400_B_20180430_RNA,2050,M,2017,P13,N400,B,20180430,-10,RNA,no,rhizosphere
2051_M_2017_P13_N400_C_20180430_RNA,2051,M,2017,P13,N400,C,20180430,-10,RNA,no,rhizosphere
2052_M_2017_P14_N0_A_20180430_RNA,2052,M,2017,P14,N0,A,20180430,-10,RNA,no,rhizosphere
2053_M_2017_P14_N0_B_20180430_RNA,2053,M,2017,P14,N0,B,20180430,-10,RNA,no,rhizosphere
2054_M_2017_P14_N0_C_20180430_RNA,2054,M,2017,P14,N0,C,20180430,-10,RNA,no,rhizosphere
2055_M_2016_P17_N400_A_20180430_RNA,2055,M,2016,P17,N400,A,20180430,-10,RNA,no,rhizosphere
2056_M_2016_P17_N400_B_20180430_RNA,2056,M,2016,P17,N400,B,20180430,-10,RNA,no,rhizosphere
2057_M_2016_P17_N400_C_20180430_RNA,2057,M,2016,P17,N400,C,20180430,-10,RNA,no,rhizosphere
2058_M_2016_P18_N200_A_20180430_RNA,2058,M,2016,P18,N200,A,20180430,-10,RNA,no,rhizosphere
2059_M_2016_P18_N200_B_20180430_RNA,2059,M,2016,P18,N200,B,20180430,-10,RNA,no,rhizosphere
2060_M_2016_P18_N200_C_20180430_RNA,2060,M,2016,P18,N200,C,20180430,-10,RNA,no,rhizosphere
2061_M_2016_P19_N0_A_20180430_RNA,2061,M,2016,P19,N0,A,20180430,-10,RNA,no,rhizosphere
2062_M_2016_P19_N0_B_20180430_RNA,2062,M,2016,P19,N0,B,20180430,-10,RNA,no,rhizosphere
2063_M_2016_P19_N0_C_20180430_RNA,2063,M,2016,P19,N0,C,20180430,-10,RNA,no,rhizosphere
2064_M_2017_P22_N400_A_20180430_RNA,2064,M,2017,P22,N400,A,20180430,-10,RNA,no,rhizosphere
2065_M_2017_P22_N400_B_20180430_RNA,2065,M,2017,P22,N400,B,20180430,-10,RNA,no,rhizosphere
