sequence_id,sample_id,crop,year,plot,nitrogen_conc,replicate,sample_date,days_after_fertilization,nucleotide,target_region,fertilization,soil_type,project
2001_C_2018_P3_N300_A_20180430_RNA,2001,C,2018,P3,N300,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2002_C_2018_P3_N300_B_20180430_RNA,2002,C,2018,P3,N300,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2003_C_2018_P3_N300_C_20180430_RNA,2003,C,2018,P3,N300,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2004_C_2018_P4_N0_A_20180430_RNA,2004,C,2018,P4,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2005_C_2018_P4_N0_B_20180430_RNA,2005,C,2018,P4,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2006_C_2018_P4_N0_C_20180430_RNA,2006,C,2018,P4,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2007_C_2018_P5_N200_A_20180430_RNA,2007,C,2018,P5,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2008_C_2018_P5_N200_B_20180430_RNA,2008,C,2018,P5,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2009_C_2018_P5_N200_C_20180430_RNA,2009,C,2018,P5,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2010_C_2018_P6_N300_A_20180430_RNA,2010,C,2018,P6,N300,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2011_C_2018_P6_N300_B_20180430_RNA,2011,C,2018,P6,N300,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2012_C_2018_P6_N300_C_20180430_RNA,2012,C,2018,P6,N300,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2013_C_2018_P7_N0_A_20180430_RNA,2013,C,2018,P7,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2014_C_2018_P7_N0_B_20180430_RNA,2014,C,2018,P7,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2015_C_2018_P7_N0_C_20180430_RNA,2015,C,2018,P7,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2016_C_2018_P9_N200_A_20180430_RNA,2016,C,2018,P9,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2017_C_2018_P9_N200_B_20180430_RNA,2017,C,2018,P9,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2018_C_2018_P9_N200_C_20180430_RNA,2018,C,2018,P9,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2019_C_2018_P12_N200_A_20180430_RNA,2019,C,2018,P12,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2020_C_2018_P12_N200_B_20180430_RNA,2020,C,2018,P12,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2021_C_2018_P12_N200_C_20180430_RNA,2021,C,2018,P12,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2022_C_2018_P13_N300_A_20180430_RNA,2022,C,2018,P13,N300,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2023_C_2018_P13_N300_B_20180430_RNA,2023,C,2018,P13,N300,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2024_C_2018_P13_N300_C_20180430_RNA,2024,C,2018,P13,N300,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2025_C_2018_P14_N0_A_20180430_RNA,2025,C,2018,P14,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2026_C_2018_P14_N0_B_20180430_RNA,2026,C,2018,P14,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2027_C_2018_P14_N0_C_20180430_RNA,2027,C,2018,P14,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2028_M_2015_P3_N400_A_20180430_RNA,2028,M,2015,P3,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2029_M_2015_P3_N400_B_20180430_RNA,2029,M,2015,P3,N400,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2030_M_2015_P3_N400_C_20180430_RNA,2030,M,2015,P3,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2031_M_2015_P4_N0_A_20180430_RNA,2031,M,2015,P4,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2032_M_2015_P4_N0_B_20180430_RNA,2032,M,2015,P4,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2033_M_2015_P4_N0_C_20180430_RNA,2033,M,2015,P4,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2034_M_2015_P5_N200_A_20180430_RNA,2034,M,2015,P5,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2035_M_2015_P5_N200_B_20180430_RNA,2035,M,2015,P5,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2036_M_2015_P5_N200_C_20180430_RNA,2036,M,2015,P5,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
